index,x,y,r (pixel),is_circle,r (um)
151,236,54,381,no,381
150,260,48,366,no,366
149,238,80,357,no,357
148,822,450,346,no,346
147,258,72,346,no,346
146,246,102,344,no,344
145,786,448,333,no,333
144,284,82,325,no,325
143,268,96,321,no,321
142,840,438,317,no,317
141,268,132,315,no,315
140,192,106,310,no,310
139,848,326,303,no,303
138,286,108,301,no,301
137,232,148,297,no,297
136,840,298,296,no,296
135,172,178,293,no,293
134,206,138,291,no,291
133,750,290,288,no,288
132,182,140,287,no,287
131,802,422,280,no,280
130,334,110,277,no,277
129,72,546,272,no,272
128,206,160,270,no,270
127,810,320,266,no,266
126,142,146,262,no,262
125,120,166,261,no,261
124,450,664,258,no,258
123,762,452,256,no,256
122,786,400,256,no,256
121,224,106,249,no,249
120,86,522,248,no,248
117,718,482,240,no,240
119,152,182,240,no,240
118,162,160,240,no,240
116,754,424,232,no,232
114,144,626,228,no,228
115,162,610,228,no,228
113,768,306,224,no,224
112,112,630,222,no,222
111,778,324,222,no,222
110,38,466,218,no,218
109,318,34,215,no,215
108,476,622,214,no,214
107,148,514,212,no,212
106,184,628,210,no,210
105,88,586,209,no,209
104,104,604,209,no,209
103,134,600,201,no,201
102,36,490,193,no,193
101,56,590,189,no,189
100,142,578,189,no,189
99,146,658,188,no,188
98,116,586,187,no,187
97,348,70,186,no,186
96,162,574,179,no,179
94,124,564,168,no,168
95,98,566,168,no,168
93,848,256,162,no,162
92,808,226,157,no,157
91,374,662,150,no,150
90,800,204,149,no,149
89,778,218,143,no,143
88,816,246,141,no,141
87,782,242,140,no,140
86,840,276,139,no,139
85,394,666,131,no,131
84,400,642,118,no,118
83,800,264,117,no,117
82,818,278,116,no,116
81,820,300,112,no,112
80,764,686,111,no,111
79,416,654,110,yes,110
78,726,682,99,no,99
77,746,674,95,no,95
76,794,288,94,yes,94
75,594,568,91,yes,91
74,226,648,90,no,90
73,422,634,89,no,89
72,706,682,83,no,83
71,728,656,83,no,83
70,760,648,82,no,82
69,658,72,70,no,70
68,850,86,66,no,66
67,428,14,66,no,66
66,772,66,65,no,65
65,562,182,65,no,65
64,852,580,62,no,62
63,750,60,62,no,62
62,742,638,62,yes,62
58,322,398,61,no,61
61,406,24,61,no,61
60,760,16,61,no,61
59,648,94,61,no,61
57,764,44,59,no,59
56,414,52,56,yes,56
55,426,34,54,no,54
54,414,306,53,yes,53
53,850,56,49,no,49
52,494,66,49,no,49
51,832,572,49,yes,49
50,256,328,48,yes,48
49,78,290,48,yes,48
48,258,444,47,no,47
47,790,132,45,no,45
46,782,110,44,no,44
45,828,64,43,no,43
44,546,32,43,no,43
43,810,138,42,no,42
42,636,112,41,no,41
41,360,228,40,no,40
40,332,376,39,no,39
36,718,162,38,no,38
37,794,160,38,no,38
38,536,198,38,no,38
39,480,82,38,no,38
35,588,242,37,yes,37
34,652,224,37,yes,37
33,254,468,36,no,36
32,606,32,36,no,36
31,352,248,34,yes,34
30,652,664,33,yes,33
29,760,104,32,no,32
28,814,40,32,no,32
27,724,78,32,no,32
26,774,86,32,yes,32
25,418,212,31,yes,31
24,478,200,30,yes,30
23,628,30,29,no,29
22,558,78,29,no,29
21,680,36,29,no,29
20,564,260,28,no,28
19,482,354,27,no,27
18,632,246,25,no,25
17,78,270,25,no,25
16,306,592,25,no,25
15,232,470,25,no,25
14,474,46,24,no,24
13,834,660,22,yes,22
12,272,426,22,yes,22
11,134,300,22,yes,22
10,736,104,21,no,21
9,708,96,21,yes,21
8,228,408,20,no,20
7,246,550,19,no,19
6,226,226,19,yes,19
4,384,520,17,no,17
5,814,158,17,no,17
2,126,410,14,no,14
3,816,110,14,yes,14
1,98,218,12,yes,12
0,360,192,11,yes,11
