index,x,y,r (pixel),is_circle,r (um)
95,782,274,409,no,409
94,606,152,394,no,394
93,646,120,336,no,336
92,842,272,333,no,333
91,602,230,329,no,329
90,624,218,325,no,325
89,628,104,324,no,324
88,658,298,324,no,324
87,686,240,315,no,315
86,670,274,306,no,306
85,588,250,304,no,304
84,650,264,303,no,303
83,764,156,293,no,293
82,646,244,293,no,293
81,778,176,287,no,287
80,760,288,287,no,287
79,628,260,285,no,285
78,652,214,275,no,275
77,726,160,268,no,268
76,746,104,260,no,260
75,656,142,255,no,255
74,740,134,252,no,252
73,656,194,252,no,252
72,228,40,248,no,248
71,642,178,239,no,239
70,96,476,232,no,232
69,712,204,226,no,226
68,840,248,225,no,225
67,666,666,222,no,222
66,686,126,218,no,218
65,114,82,214,no,214
64,490,686,202,no,202
63,644,654,198,no,198
62,850,292,187,no,187
61,148,98,173,no,173
60,554,666,154,no,154
59,24,362,151,no,151
58,232,668,126,no,126
57,482,662,125,no,125
56,212,666,121,no,121
55,728,650,120,no,120
54,686,670,114,no,114
53,250,658,106,no,106
52,558,614,104,no,104
51,774,640,99,no,99
50,302,668,90,no,90
49,512,658,89,no,89
48,372,28,80,no,80
47,532,650,79,yes,79
46,684,486,77,yes,77
45,802,432,74,no,74
44,326,658,73,no,73
43,410,26,68,no,68
42,444,142,67,yes,67
41,360,526,66,yes,66
40,250,298,57,yes,57
39,560,438,55,yes,55
38,250,574,53,yes,53
37,766,570,50,yes,50
36,482,504,44,no,44
35,12,256,43,yes,43
34,448,542,43,no,43
33,438,560,42,no,42
32,794,376,42,yes,42
31,852,434,38,yes,38
30,816,500,38,no,38
29,848,532,36,no,36
28,542,522,33,no,33
27,142,252,32,yes,32
24,500,186,30,yes,30
25,434,464,30,yes,30
26,436,520,30,no,30
23,670,368,29,yes,29
22,812,386,28,no,28
21,314,252,28,no,28
20,512,548,28,no,28
19,70,228,28,yes,28
18,480,600,27,no,27
17,300,230,27,no,27
16,326,58,26,yes,26
14,178,422,25,yes,25
15,430,490,25,no,25
13,458,636,23,yes,23
12,120,274,22,no,22
11,530,352,22,yes,22
10,282,200,22,yes,22
9,700,398,21,yes,21
8,472,528,19,yes,19
7,454,422,19,yes,19
6,468,368,18,yes,18
5,480,398,17,yes,17
4,494,560,16,no,16
3,348,178,15,yes,15
2,136,196,14,yes,14
1,178,72,13,yes,13
0,420,82,11,yes,11
