index,x,y,r (pixel),is_circle,r (um),probability
0,562,146,66,yes,66,0.40591397849462363
1,484,466,84,yes,84,0.3220338983050847
14,260,630,208,yes,208,0.23605150214592274
11,730,326,178,yes,178,0.21476510067114093
5,636,676,147,yes,147,0.18244803695150116
4,396,270,131,yes,131,0.15135135135135136
9,720,306,156,no,156,0.1458625525946704
13,732,354,204,no,204,0.11533742331288344
12,710,336,180,no,180,0.11320754716981132
8,410,286,152,no,152,0.10163551401869159
7,376,268,151,no,151,0.09272300469483569
6,392,294,148,no,148,0.09210526315789473
3,396,250,114,no,114,0.08540372670807453
10,418,258,174,no,174,0.08536585365853659
2,376,244,100,no,100,0.06382978723404255
