index,x,y,r (pixel),is_circle,r (um),probability
1,22,584,20,yes,20,0.5446428571428571
79,570,674,58,yes,58,0.5401069518716578
2,210,322,22,yes,22,0.5
23,320,378,36,yes,36,0.485
5,708,68,24,yes,24,0.48484848484848486
3,472,72,23,yes,23,0.4765625
4,778,96,23,yes,23,0.4765625
20,534,488,35,yes,35,0.46938775510204084
9,426,106,27,yes,27,0.45394736842105265
46,824,162,47,yes,47,0.44919786096256686
33,822,352,40,yes,40,0.4152046783625731
26,422,170,37,yes,37,0.40865384615384615
15,598,482,31,yes,31,0.4069767441860465
81,280,574,59,yes,59,0.4036144578313253
22,582,52,36,yes,36,0.385
70,746,474,56,yes,56,0.3829113924050633
30,72,256,39,yes,39,0.38181818181818183
11,410,624,28,yes,28,0.3782051282051282
37,382,318,43,yes,43,0.375
28,472,652,37,yes,37,0.3687150837988827
84,64,548,61,yes,61,0.3633720930232558
65,568,404,53,yes,53,0.3547297297297297
34,676,534,41,yes,41,0.34210526315789475
21,744,144,35,yes,35,0.34183673469387754
62,774,26,52,yes,52,0.33668341708542715
50,226,396,50,yes,50,0.33214285714285713
24,30,450,36,no,36,0.3312883435582822
63,590,568,53,yes,53,0.3310810810810811
43,356,120,46,yes,46,0.33076923076923076
16,650,394,31,yes,31,0.32558139534883723
64,754,594,53,yes,53,0.32432432432432434
0,240,98,20,yes,20,0.32142857142857145
10,356,580,28,yes,28,0.32051282051282054
72,380,514,56,yes,56,0.31962025316455694
57,724,370,52,yes,52,0.3082191780821918
12,822,476,28,yes,28,0.3076923076923077
67,660,126,54,yes,54,0.3026315789473684
53,470,358,51,yes,51,0.2881944444444444
58,278,298,52,yes,52,0.2808219178082192
56,452,256,52,yes,52,0.2808219178082192
8,218,620,25,no,25,0.2785714285714286
82,478,566,59,yes,59,0.2710843373493976
83,560,292,60,yes,60,0.2648809523809524
31,658,624,39,yes,39,0.2636363636363636
61,122,168,52,yes,52,0.2568493150684932
71,174,76,56,yes,56,0.2563291139240506
90,710,242,71,yes,71,0.2525
13,516,48,29,yes,29,0.25
91,242,182,72,yes,72,0.24752475247524752
18,264,652,32,yes,32,0.24444444444444444
52,208,494,51,yes,51,0.23958333333333334
59,166,588,52,yes,52,0.2363013698630137
47,296,456,48,yes,48,0.23507462686567165
42,342,650,46,yes,46,0.2315270935960591
27,644,330,37,yes,37,0.22115384615384615
6,408,574,24,yes,24,0.2196969696969697
55,354,226,52,yes,52,0.2191780821917808
19,184,576,34,no,34,0.21875
35,474,446,42,yes,42,0.21610169491525424
39,394,414,45,yes,45,0.21428571428571427
60,66,62,52,yes,52,0.21232876712328766
74,488,548,56,no,56,0.2120253164556962
17,608,212,32,yes,32,0.2111111111111111
32,356,634,39,no,39,0.20454545454545456
36,84,542,42,no,42,0.2033898305084746
68,834,262,54,yes,54,0.20320855614973263
29,146,364,38,yes,38,0.2028301886792453
14,662,456,31,yes,31,0.19767441860465115
69,220,474,54,no,54,0.19736842105263158
73,162,280,56,yes,56,0.1930379746835443
49,114,452,49,yes,49,0.19202898550724637
48,264,180,48,no,48,0.1865671641791045
7,140,506,25,yes,25,0.18571428571428572
80,146,420,58,no,58,0.18292682926829268
38,312,442,43,no,43,0.17916666666666667
45,60,372,47,yes,47,0.17803030303030304
93,256,162,73,no,73,0.17475728155339806
96,530,156,83,yes,83,0.17307692307692307
87,298,552,63,no,63,0.17134831460674158
66,598,548,53,no,53,0.16891891891891891
77,756,456,57,no,57,0.165625
76,86,660,57,yes,57,0.16113744075829384
88,758,574,64,no,64,0.16111111111111112
78,390,494,57,no,57,0.159375
75,98,520,56,no,56,0.15822784810126583
54,132,436,51,no,51,0.1527777777777778
85,570,274,62,no,62,0.14942528735632185
86,76,522,62,no,62,0.14942528735632185
44,100,166,46,no,46,0.14615384615384616
89,402,510,66,no,66,0.1424731182795699
95,548,140,76,no,76,0.14018691588785046
92,410,24,72,no,72,0.1394422310756972
40,658,26,45,yes,45,0.12290502793296089
98,564,126,106,no,106,0.12248322147651007
97,688,218,103,no,103,0.12241379310344827
51,282,52,50,yes,50,0.11428571428571428
94,734,602,74,no,74,0.10817307692307693
99,510,144,106,no,106,0.10570469798657718
25,84,640,36,no,36,0.09
41,730,272,45,no,45,0.03968253968253968
